Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_S11_1 X11 Landrace CK Rhizosphere 1 P05 480 249 2453 0 12 9 374 8 94 0 0 266 55 404 7 6 0 869 92 10 0 0 2424 68 0 0 2 45 642 5 0 3 41 67 14 20 57 9 15 41 3014 2873 11829 55 35791 8 0 3631 9 13 3 0 148 3004 3359 0 636 7 0
CK_S11_2 X11 Landrace CK Rhizosphere 2 P05 84 177 684 0 0 3 179 12 22 0 0 23 9 67 0 0 0 113 5 11 0 14 90 48 0 4 0 11 6706 352 0 0 41 12 7 0 0 6 0 41 835 1248 4123 0 76296 0 0 565 0 3 0 0 279 23419 1319 4 94 20 26
CK_S11_3 X11 Landrace CK Rhizosphere 3 P05 42 210 499 0 0 0 33 51 22 0 8 498 0 46 6 0 0 172 6 18 0 42 137 0 0 0 3 0 3251 18 0 0 0 15 2 2 0 0 2 10 211 2770 4002 0 92453 5 0 384 0 0 0 4 81 732 999 64 29 2 3
CK_S110_1 X110 Hybrid CK Rhizosphere 1 P11 121 58 149 0 0 6 315 2 82 2 0 50 5 133 0 0 0 174 32 0 0 0 372 20 0 0 2 2 46 26 0 2 22 21 32 0 0 13 6 18 455 506 4747 0 43264 0 0 432 5 6 0 0 141 116 2425 0 96 17 4
CK_S110_2 X110 Hybrid CK Rhizosphere 2 P11 117 65 1535 0 0 6 275 8 90 0 6 17 21 192 2 0 0 402 14 15 0 176 571 16 0 0 0 1901 75 1364 0 0 6 50 36 12 0 0 12 38 2602 18878 6154 3 46064 3 0 728 0 0 0 0 144 352 1519 0 53 7 0
CK_S110_3 X110 Hybrid CK Rhizosphere 3 P11 45 94 390 0 0 6 46 46 75 0 0 22 9 120 0 0 0 112 4 0 0 0 244 4 0 0 0 388 642 4 0 0 882 2 6 0 0 0 0 156 383 982 4163 0 63539 0 0 699 0 3 0 18 85 424 1996 8 42 0 24
CK_S111_1 X111 Hybrid CK Rhizosphere 1 P11 141 129 256 0 0 3 111 7 111 2 7 458 0 276 0 3 0 400 70 7 0 4 1245 20 6 0 4 3 11514 7 0 4 7 96 15 5 0 7 0 46 27669 2594 2072 4 3414 5 7 1472 5 6 0 0 173 352 2137 0 196 5 6
CK_S111_2 X111 Hybrid CK Rhizosphere 2 P11 207 1799 20883 31 6 0 183 21 103 0 4 75 37 696 0 6 0 456 18 8 0 45 791 14 13 0 0 75 69 4 0 7 2 62 13 0 0 5 4 41 4133 14639 6302 7 20661 11 3 1425 5 0 0 0 98 311 1656 0 102 0 9
CK_S111_3 X111 Hybrid CK Rhizosphere 3 P11 0 57 161 0 0 0 22 3 8 0 0 12 0 72 0 5 0 149 0 0 0 0 439 0 0 0 0 0 4837 5 0 0 3 0 0 0 2 0 4 91 5603 1164 2326 0 81594 0 0 437 0 0 0 0 32 6711 560 209 21 28 95
CK_S112_1 X112 Hybrid CK Rhizosphere 1 P08 315 117 1432 0 2 7 187 21 164 0 4 195 0 487 3 0 0 527 28 16 5 0 1778 23 4 0 4 6 25 36 0 0 220 76 13 3 0 207 13 72 5609 12071 7922 0 3651 3 0 1095 8 15 0 0 147 1211 2708 0 243 10 9
